month,policy,pollutant,influence,baseline_month_influence,change_value,threshold_change_value,change_pct,reached_threshold,policy_effective
2015-01,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,156.795776,169.247389,-12.451613,-8.462369,-7.357049,是,否
2015-02,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,143.718570,217.575713,-73.857143,-10.878786,-33.945490,是,是
2015-03,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,131.868605,147.933121,-16.064516,-7.396656,-10.859310,是,是
2015-04,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,137.492727,156.426060,-18.933333,-7.821303,-12.103695,是,是
2015-05,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,126.002026,141.098800,-15.096774,-7.054940,-10.699435,是,是
2015-06,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,126.591661,136.958327,-10.366667,-6.847916,-7.569212,是,是
2015-07,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,135.475177,160.862274,-25.387097,-8.043114,-15.781884,是,是
2015-08,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,129.830470,152.314341,-22.483871,-7.615717,-14.761493,是,是
2015-09,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,119.764245,152.397578,-32.633333,-7.619879,-21.413289,是,是
2015-10,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,119.121507,192.927959,-73.806452,-9.646398,-38.255965,是,是
2015-11,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,169.852283,150.252283,19.600000,-7.512614,13.044727,否,否
2015-12,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM2.5,203.263244,134.194696,69.068548,-6.709735,51.468911,否,否
2015-01,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,90.179485,92.669807,-2.490322,-4.633490,-2.687307,否,否
2015-02,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,86.151255,112.872683,-26.721428,-5.643634,-23.673955,是,否
2015-03,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,76.089722,71.541334,4.548388,-3.577067,6.357706,否,否
2015-04,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,66.230451,83.463784,-17.233333,-4.173189,-20.647677,是,否
2015-05,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,64.775712,82.646679,-17.870967,-4.132334,-21.623334,是,是
2015-06,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,68.821845,78.121845,-9.300000,-3.906092,-11.904480,是,是
2015-07,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,72.797444,91.829702,-19.032258,-4.591485,-20.725601,是,是
2015-08,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,67.838319,89.289932,-21.451613,-4.464497,-24.024672,是,是
2015-09,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,61.544803,81.878136,-20.333333,-4.093907,-24.833654,是,是
2015-10,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,71.341097,110.244322,-38.903226,-5.512216,-35.288190,是,是
2015-11,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,97.756602,91.354379,6.402222,-4.567719,7.008118,否,否
2015-12,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,PM10,112.837704,74.390123,38.447581,-3.719506,51.683717,否,否
2015-01,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,42.254097,38.899259,3.354838,-1.944963,8.624427,否,否
2015-02,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,42.186596,35.508025,6.678571,-1.775401,18.808624,否,否
2015-03,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,42.943173,44.749625,-1.806452,-2.237481,-4.036798,否,否
2015-04,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,48.333956,54.267289,-5.933334,-2.713364,-10.933536,是,否
2015-05,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,48.266389,50.911551,-2.645162,-2.545578,-5.195602,是,是
2015-06,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,28.341955,45.908622,-17.566667,-2.295431,-38.264418,是,是
2015-07,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,56.873265,51.002297,5.870968,-2.550115,11.511183,否,否
2015-08,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,57.640508,61.511476,-3.870968,-3.075574,-6.293082,是,否
2015-09,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,43.218481,39.151814,4.066667,-1.957591,10.386918,否,否
2015-10,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,50.429417,41.913288,8.516129,-2.095664,20.318447,否,否
2015-11,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,39.181355,45.634688,-6.453333,-2.281734,-14.141289,是,否
2015-12,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,O3,40.717128,45.932181,-5.215054,-2.296609,-11.353812,是,是
2015-01,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,32.165979,26.940173,5.225806,-1.347009,19.397819,否,否
2015-02,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,26.590010,31.340010,-4.750000,-1.567001,-15.156346,是,否
2015-03,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,26.300659,28.913562,-2.612903,-1.445678,-9.036947,是,是
2015-04,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,25.035639,27.902306,-2.866667,-1.395115,-10.273943,是,是
2015-05,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,22.775376,27.807635,-5.032259,-1.390382,-18.096679,是,是
2015-06,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,23.416654,25.949987,-2.533334,-1.297499,-9.762370,是,是
2015-07,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,23.422051,25.099470,-1.677419,-1.254974,-6.683086,是,是
2015-08,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,19.834803,27.641255,-7.806452,-1.382063,-28.242031,是,是
2015-09,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,23.063325,26.629991,-3.566667,-1.331500,-13.393421,是,是
2015-10,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,25.789781,33.886555,-8.096774,-1.694328,-23.893766,是,是
2015-11,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,26.229834,29.429834,-3.200000,-1.471492,-10.873320,是,是
2015-12,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,NO2,36.849240,25.095208,11.754032,-1.254760,46.837757,否,否
2015-01,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,17.688220,26.784995,-9.096774,-1.339250,-33.962203,是,否
2015-02,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,12.278712,28.314426,-16.035714,-1.415721,-56.634431,是,是
2015-03,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,10.118653,17.086395,-6.967742,-0.854320,-40.779473,是,是
2015-04,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,5.879928,9.846594,-3.966667,-0.492330,-40.284654,是,是
2015-05,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,5.539986,8.830308,-3.290322,-0.441515,-37.261695,是,是
2015-06,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,4.815122,5.848455,-1.033333,-0.292423,-17.668482,是,是
2015-07,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,4.825088,5.188951,-0.363863,-0.259448,-7.012270,是,是
2015-08,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,3.493913,4.713895,-1.219982,-0.235695,-25.880552,是,是
2015-09,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,4.151392,5.575202,-1.423809,-0.278760,-25.538260,是,是
2015-10,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,4.478237,6.123398,-1.645161,-0.306170,-26.866801,是,是
2015-11,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,7.454678,9.688011,-2.233334,-0.484401,-23.052549,是,是
2015-12,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,SO2,8.757655,17.605325,-8.847670,-0.880266,-50.255649,是,是
2015-01,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,15.071992,21.394572,-6.322580,-1.069729,-29.552264,是,否
2015-02,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,11.383575,24.605003,-13.221428,-1.230250,-53.734715,是,是
2015-03,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,10.501793,19.792115,-9.290322,-0.989606,-46.939511,是,是
2015-04,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,8.684698,14.733217,-6.048518,-0.736661,-41.053617,是,是
2015-05,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,9.827255,9.278868,0.548387,-0.463943,5.910069,否,否
2015-06,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,8.713761,8.813761,-0.100000,-0.440688,-1.134586,否,否
2015-07,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,8.585907,9.650423,-1.064516,-0.482521,-11.030771,是,否
2015-08,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,7.621976,9.202621,-1.580645,-0.460131,-17.176032,是,是
2015-09,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,8.243111,11.143111,-2.900000,-0.557156,-26.025049,是,是
2015-10,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,8.610554,12.255715,-3.645161,-0.612786,-29.742542,是,是
2015-11,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,17.640408,11.873741,5.766667,-0.593687,48.566552,否,否
2015-12,《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,CO,22.552745,12.369053,10.183692,-0.618453,82.332025,否,否
2015-01,《加快压减燃煤促进空气质量改善工作方案》,PM2.5,156.795776,169.247389,-12.451613,-8.462369,-7.357049,是,否
2015-02,《加快压减燃煤促进空气质量改善工作方案》,PM2.5,143.718570,217.575713,-73.857143,-10.878786,-33.945490,是,是
2015-03,《加快压减燃煤促进空气质量改善工作方案》,PM2.5,131.868605,147.933121,-16.064516,-7.396656,-10.859310,是,是
2015-04,《加快压减燃煤促进空气质量改善工作方案》,PM2.5,137.492727,156.426060,-18.933333,-7.821303,-12.103695,是,是
2015-05,《加快压减燃煤促进空气质量改善工作方案》,PM2.5,126.002026,141.098800,-15.096774,-7.054940,-10.699435,是,是
2015-06,《加快压减燃煤促进空气质量改善工作方案》,PM2.5,126.591661,136.958327,-10.366667,-6.847916,-7.569212,是,是
2015-07,《加快压减燃煤促进空气质量改善工作方案》,PM2.5,135.475177,160.862274,-25.387097,-8.043114,-15.781884,是,是
