policy,start_year,end_year,pollutant,baseline_year,baseline_start_month,baseline_end_month,calculation_start_month,baseline_year_mean,end_change_pct,effective_month,effective_change_pct,max_reduction_month,max_reduction_value,status
《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,2014-01,2015,PM2.5,2014,2014-01,2014-12,2015-01,159.349045,-11.108332,2015-02,-33.945490,2015-02,-73.857143,2014年作初始期与固定基准年，计算从2015-01开始
《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,2014-01,2015,PM10,2014,2014-01,2014-12,2015-01,88.358561,-11.688953,2015-05,-21.623334,2015-10,-38.903226,2014年作初始期与固定基准年，计算从2015-01开始
《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,2014-01,2015,O3,2014,2014-01,2014-12,2015-01,46.282510,-2.701488,2015-05,-5.195602,2015-06,-17.566667,2014年作初始期与固定基准年，计算从2015-01开始
《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,2014-01,2015,NO2,2014,2014-01,2014-12,2015-01,28.052999,-7.474732,2015-03,-9.036947,2015-10,-8.096774,2014年作初始期与固定基准年，计算从2015-01开始
《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,2014-01,2015,SO2,2014,2014-01,2014-12,2015-01,12.133830,-38.545382,2015-02,-56.634431,2015-02,-16.035714,2014年作初始期与固定基准年，计算从2015-01开始
《北京市清洁空气行动计划（2011-2015 年大气污染控制措施）》,2014-01,2015,CO,2014,2014-01,2014-12,2015-01,13.759350,-16.760982,2015-02,-53.734715,2015-02,-13.221428,2014年作初始期与固定基准年，计算从2015-01开始
《加快压减燃煤促进空气质量改善工作方案》,2014-01,2015,PM2.5,2014,2014-01,2014-12,2015-01,159.349045,-11.108332,2015-02,-33.945490,2015-02,-73.857143,2014年作初始期与固定基准年，计算从2015-01开始
《加快压减燃煤促进空气质量改善工作方案》,2014-01,2015,PM10,2014,2014-01,2014-12,2015-01,88.358561,-11.688953,2015-05,-21.623334,2015-10,-38.903226,2014年作初始期与固定基准年，计算从2015-01开始
《加快压减燃煤促进空气质量改善工作方案》,2014-01,2015,O3,2014,2014-01,2014-12,2015-01,46.282510,-2.701488,2015-05,-5.195602,2015-06,-17.566667,2014年作初始期与固定基准年，计算从2015-01开始
《加快压减燃煤促进空气质量改善工作方案》,2014-01,2015,NO2,2014,2014-01,2014-12,2015-01,28.052999,-7.474732,2015-03,-9.036947,2015-10,-8.096774,2014年作初始期与固定基准年，计算从2015-01开始
《加快压减燃煤促进空气质量改善工作方案》,2014-01,2015,SO2,2014,2014-01,2014-12,2015-01,12.133830,-38.545382,2015-02,-56.634431,2015-02,-16.035714,2014年作初始期与固定基准年，计算从2015-01开始
《加快压减燃煤促进空气质量改善工作方案》,2014-01,2015,CO,2014,2014-01,2014-12,2015-01,13.759350,-16.760982,2015-02,-53.734715,2015-02,-13.221428,2014年作初始期与固定基准年，计算从2015-01开始
《北京市2012—2020年大气污染治理措施》,2014-01,2020,PM2.5,2014,2014-01,2014-12,2015-01,159.349045,-37.592503,2015-02,-33.945490,2016-02,-129.682212,2014年作初始期与固定基准年，计算从2015-01开始
《北京市2012—2020年大气污染治理措施》,2014-01,2020,PM10,2014,2014-01,2014-12,2015-01,88.358561,-45.707099,2015-05,-21.623334,2020-02,-81.872281,2014年作初始期与固定基准年，计算从2015-01开始
《北京市2012—2020年大气污染治理措施》,2014-01,2020,O3,2014,2014-01,2014-12,2015-01,46.282510,-3.348023,2015-05,-5.195602,2017-08,-25.354839,2014年作初始期与固定基准年，计算从2015-01开始
《北京市2012—2020年大气污染治理措施》,2014-01,2020,NO2,2014,2014-01,2014-12,2015-01,28.052999,-48.319608,2015-03,-9.036947,2020-03,-19.193549,2014年作初始期与固定基准年，计算从2015-01开始
《北京市2012—2020年大气污染治理措施》,2014-01,2020,SO2,2014,2014-01,2014-12,2015-01,12.133830,-84.155792,2015-02,-56.634431,2020-02,-28.825502,2014年作初始期与固定基准年，计算从2015-01开始
《北京市2012—2020年大气污染治理措施》,2014-01,2020,CO,2014,2014-01,2014-12,2015-01,13.759350,-59.417106,2015-02,-53.734715,2018-02,-18.650000,2014年作初始期与固定基准年，计算从2015-01开始
《北京市工业大气污染治理行动计划（2012-2020 年）》,2014-01,2020,PM2.5,2014,2014-01,2014-12,2015-01,159.349045,-37.592503,2015-02,-33.945490,2016-02,-129.682212,2014年作初始期与固定基准年，计算从2015-01开始
《北京市工业大气污染治理行动计划（2012-2020 年）》,2014-01,2020,PM10,2014,2014-01,2014-12,2015-01,88.358561,-45.707099,2015-05,-21.623334,2020-02,-81.872281,2014年作初始期与固定基准年，计算从2015-01开始
《北京市工业大气污染治理行动计划（2012-2020 年）》,2014-01,2020,O3,2014,2014-01,2014-12,2015-01,46.282510,-3.348023,2015-05,-5.195602,2017-08,-25.354839,2014年作初始期与固定基准年，计算从2015-01开始
《北京市工业大气污染治理行动计划（2012-2020 年）》,2014-01,2020,NO2,2014,2014-01,2014-12,2015-01,28.052999,-48.319608,2015-03,-9.036947,2020-03,-19.193549,2014年作初始期与固定基准年，计算从2015-01开始
《北京市工业大气污染治理行动计划（2012-2020 年）》,2014-01,2020,SO2,2014,2014-01,2014-12,2015-01,12.133830,-84.155792,2015-02,-56.634431,2020-02,-28.825502,2014年作初始期与固定基准年，计算从2015-01开始
《北京市工业大气污染治理行动计划（2012-2020 年）》,2014-01,2020,CO,2014,2014-01,2014-12,2015-01,13.759350,-59.417106,2015-02,-53.734715,2018-02,-18.650000,2014年作初始期与固定基准年，计算从2015-01开始
《北京市 2013-2017 年清洁空气行动计划》,2014-01,2017,PM2.5,2014,2014-01,2014-12,2015-01,159.349045,-27.084348,2015-02,-33.945490,2016-02,-129.682212,2014年作初始期与固定基准年，计算从2015-01开始
《北京市 2013-2017 年清洁空气行动计划》,2014-01,2017,PM10,2014,2014-01,2014-12,2015-01,88.358561,-23.426746,2015-05,-21.623334,2016-02,-64.006764,2014年作初始期与固定基准年，计算从2015-01开始
