date,pm25_observed,pm25_trend,pm25_seasonal,pm25_resid,pm10_observed,pm10_trend,pm10_seasonal,pm10_resid,o3_observed,o3_trend,o3_seasonal,o3_resid,no2_observed,no2_trend,no2_seasonal,no2_resid,so2_observed,so2_trend,so2_seasonal,so2_resid,co_observed,co_trend,co_seasonal,co_resid
2014/1/1,125,159.013356,24.058241,-58.071597,136,88.240068,9.160814,38.599117,4,46.424658,-28.519658,-13.905,44,28.02911,6.421188,9.549702,45,12.039726,3.759932,29.200342,39,13.688782,4.788514,20.522704
2014/1/2,218,159.013356,12.048874,46.93777,79,88.240068,13.713264,-22.953333,22,46.424658,-30.417538,5.992881,20,28.02911,10.15211,-18.181219,15,12.039726,4.187389,-1.227115,22,13.688782,6.687635,1.623582
2014/1/3,127,159.013356,24.76865,-56.782006,109,88.240068,22.836657,-2.076726,3,46.424658,-28.725231,-14.699427,37,28.02911,10.539676,-1.568785,26,12.039726,3.24028,10.719994,32,13.688782,8.072672,10.238545
2014/1/4,213,159.013356,28.480346,25.506298,74,88.240068,4.069534,-18.309602,16,46.424658,-27.475494,-2.949163,32,28.02911,7.003111,-3.03222,23,12.039726,3.087453,7.872821,24,13.688782,5.074148,5.23707
2014/1/5,168,159.013356,11.268966,-2.282322,91,88.240068,-8.216662,10.976594,4,46.424658,-26.159583,-16.265075,33,28.02911,3.390044,1.580846,30,12.039726,2.329102,15.631172,22,13.688782,2.768141,5.543076
2014/1/6,204,159.013356,-0.080244,45.066888,69,88.240068,-11.356599,-7.88347,19,46.424658,-27.328392,-0.096266,27,28.02911,2.163069,-3.192178,21,12.039726,2.550677,6.409597,22,13.688782,2.230944,6.080274
2014/1/7,178,159.013356,-11.592784,30.579427,17,88.240068,-8.638053,-62.602015,21,46.424658,-24.796042,-0.628615,7,28.02911,-1.140409,-19.888701,7,12.039726,0.70368,-5.743406,11,13.688782,-0.462207,-2.226576
2014/1/8,65,159.013356,-26.432826,-67.58053,42,88.240068,-12.955967,-33.284102,22,46.424658,-24.092143,-0.332514,14,28.02911,0.631772,-14.660882,9,12.039726,1.088759,-4.128485,13,13.688782,-0.461785,-0.226997
2014/1/9,92,159.013356,-17.496682,-49.516674,77,88.240068,-11.721404,0.481335,5,46.424658,-26.172228,-15.25243,33,28.02911,3.327452,1.643438,31,12.039726,4.089392,14.870882,23,13.688782,1.153389,8.157829
2014/1/10,160,159.013356,-13.104269,14.090913,120,88.240068,-9.036683,40.796615,3,46.424658,-29.193513,-14.231144,48,28.02911,4.252426,15.718465,47,12.039726,3.012005,31.948269,34,13.688782,0.768141,19.543076
2014/1/11,218,159.013356,-9.29331,68.279954,36,88.240068,8.348143,-60.588211,22,46.424658,-28.027444,3.602786,16,28.02911,7.870129,-19.899238,11,12.039726,1.858018,-2.897744,12,13.688782,1.921987,-3.61077
2014/1/12,76,159.013356,9.858007,-92.871363,97,88.240068,15.899882,-7.13995,6,46.424658,-25.486242,-14.938415,40,28.02911,5.182036,6.788854,43,12.039726,4.555595,26.404679,29,13.688782,3.153389,12.157829
2014/1/13,190,159.013356,7.950525,23.036119,94,88.240068,5.749829,0.010103,5,46.424658,-27.94188,-13.482778,38,28.02911,7.027979,2.942911,46,12.039726,5.712859,28.247414,30,13.688782,4.152124,12.159093
2014/1/14,190,159.013356,13.341463,17.645181,162,88.240068,23.301357,50.458575,6,46.424658,-28.240931,-12.183726,46,28.02911,7.108485,10.862406,47,12.039726,5.407087,29.553187,36,13.688782,5.075623,17.235595
2014/1/15,249,159.013356,21.743992,68.242652,340,88.240068,21.167532,230.5924,7,46.424658,-26.770542,-12.654116,58,28.02911,4.806061,25.164829,58,12.039726,5.340959,40.619315,47,13.688782,3.465085,29.846132
2014/1/16,466,159.013356,23.933665,283.052978,88,88.240068,3.873538,-4.113607,14,46.424658,-27.633555,-4.791102,31,28.02911,5.039359,-2.068469,33,12.039726,3.367396,17.592878,24,13.688782,1.85223,8.458988
2014/1/17,228,159.013356,9.809113,59.177531,57,88.240068,6.337395,-37.577463,14,46.424658,-26.710057,-5.714601,32,28.02911,7.888464,-3.917573,22,12.039726,2.043266,7.917008,19,13.688782,2.774042,2.537176
2014/1/18,134,159.013356,15.283507,-40.296863,125,88.240068,-0.660498,37.420429,26,46.424658,-24.146938,3.72228,33,28.02911,2.963912,2.006979,40,12.039726,3.704841,24.255433,28,13.688782,2.003758,12.30746
2014/1/19,185,159.013356,-2.70996,28.696603,30,88.240068,-14.037315,-44.202753,24,46.424658,-25.166327,2.741669,7,28.02911,-0.420704,-20.608406,3,12.039726,2.80785,-11.847576,11,13.688782,1.31145,-4.000232
2014/1/20,42,159.013356,-17.940729,-99.072627,36,88.240068,-13.346015,-38.894054,18,46.424658,-24.859267,-3.565391,21,28.02911,-0.032506,-6.996604,18,12.039726,1.903379,4.056895,17,13.688782,0.850122,2.461095
2014/1/21,95,159.013356,-7.470971,-56.542385,102,88.240068,-6.970719,20.730651,6,46.424658,-26.24894,-14.175718,44,28.02911,3.359697,12.611194,46,12.039726,4.519035,29.441239,27,13.688782,1.92831,11.382908
2014/1/22,211,159.013356,7.154951,44.831693,173,88.240068,0.477168,84.282764,2,46.424658,-25.63208,-18.792577,56,28.02911,4.364122,23.606768,66,12.039726,6.299686,47.660588,41,13.688782,4.004601,23.306617
2014/1/23,339,159.013356,19.153686,160.832957,103,88.240068,-0.78231,15.542242,7,46.424658,-25.406158,-14.0185,39,28.02911,3.13799,7.832901,39,12.039726,4.446821,22.513453,26,13.688782,3.084053,9.227165
2014/1/24,221,159.013356,19.547153,42.439491,37,88.240068,-7.256704,-43.983364,26,46.424658,-23.773703,3.349045,18,28.02911,0.674133,-10.703242,12,12.039726,1.821771,-1.861497,16,13.688782,2.23811,0.073108
2014/1/25,98,159.013356,13.316595,-74.329951,58,88.240068,-3.139465,-27.100603,21,46.424658,-21.671911,-3.752746,18,28.02911,-2.015646,-8.013464,21,12.039726,1.633361,7.326913,15,13.688782,0.933157,0.378061
2014/1/26,122,159.013356,6.832506,-43.845862,83,88.240068,-10.125502,4.885433,22,46.424658,-21.12228,-3.302377,29,28.02911,-0.091094,1.061984,33,12.039726,3.736908,17.223366,19,13.688782,1.087425,4.223793
2014/1/27,157,159.013356,-4.920497,2.907141,54,88.240068,11.609283,-45.849352,23,46.424658,-20.410584,-3.014074,16,28.02911,-1.85906,-10.17005,12,12.039726,5.613398,-5.653124,15,13.688782,1.628204,-0.316987
2014/1/28,109,159.013356,13.590778,-63.604134,97,88.240068,0.749829,8.010103,9,46.424658,-23.666011,-13.758647,31,28.02911,-0.320598,3.291489,38,12.039726,4.340126,21.620148,26,13.688782,1.707446,10.603772
2014/1/29,208,159.013356,12.773497,36.213147,62,88.240068,-3.073775,-23.166294,27,46.424658,-20.264325,0.839667,16,28.02911,-1.934929,-10.09418,20,12.039726,1.020013,6.940261,17,13.688782,0.478784,2.832434
2014/1/30,126,159.013356,3.335562,-36.348918,132,88.240068,-7.527516,51.287447,14,46.424658,-19.412902,-13.011756,18,28.02911,-4.317859,-5.711251,38,12.039726,2.635609,23.324665,17,13.688782,-0.519952,3.831169
2014/1/31,220,159.013356,0.123128,60.863516,95,88.240068,-16.213079,22.973011,2,46.424658,-20.405104,-24.019553,24,28.02911,-4.315751,0.286642,34,12.039726,2.848521,19.111753,22,13.688782,-0.981279,9.292497
2014/2/1,211,159.013356,-22.486356,74.473,73,88.240068,-11.4272,-3.812869,29,46.424658,-22.008055,4.583397,11,28.02911,-2.235456,-14.793653,11,12.039726,2.308686,-3.348412,20,13.688782,0.404179,5.907039
2014/2/2,117,159.013356,-11.53546,-30.477896,30,88.240068,-10.881783,-47.358285,28,46.424658,-18.857791,0.433134,4,28.02911,-2.232084,-21.797025,3,12.039726,0.808686,-9.848412,18,13.688782,0.404811,3.906406
2014/2/3,31,159.013356,-15.526819,-112.486537,29,88.240068,-5.879044,-53.361025,25,46.424658,-18.180658,-3.244,9,28.02911,-2.614592,-16.414517,10,12.039726,0.712953,-2.752679,18,13.688782,0.249911,4.061306
2014/2/4,63,159.013356,-7.686356,-88.327,74,88.240068,-10.559339,-3.68073,20,46.424658,-19.100362,-7.324295,17,28.02911,-5.149471,-5.879639,28,12.039726,0.712953,15.247321,18,13.688782,-1.749456,6.060674
2014/2/5,175,159.013356,-15.978242,31.964886,88,88.240068,-8.713817,8.473749,17,46.424658,-18.10247,-11.322188,24,28.02911,-2.534929,-1.49418,36,12.039726,2.944671,21.015603,25,13.688782,0.251387,11.059831
2014/2/6,202,159.013356,-7.981192,50.967836,57,88.240068,-25.857969,-5.3821,16,46.424658,-16.455895,-13.968763,18,28.02911,-6.607216,-3.421894,21,12.039726,0.941135,8.019139,14,13.688782,-1.97875,2.289968
2014/2/7,175,159.013356,-24.430507,40.417151,28,88.240068,-17.759339,-42.48073,28,46.424658,-15.982976,-2.441682,13,28.02911,-4.988038,-10.041072,12,12.039726,1.767186,-1.806912,17,13.688782,-1.668529,4.979747
2014/2/8,108,159.013356,-17.007325,-34.006031,9,88.240068,-14.080308,-65.15976,26,46.424658,-19.292565,-1.132093,8,28.02911,-0.220493,-19.808617,9,12.039726,1.40779,-4.447516,22.2,13.688782,0.653916,7.857302
2014/2/9,51,159.013356,-0.851582,-107.161774,18,88.240068,-7.425092,-62.814976,23,46.424658,-17.904156,-5.520502,15,28.02911,2.091836,-15.120945,11,12.039726,2.869539,-3.909265,18,13.688782,2.407973,1.903245
2014/2/10,74,159.013356,15.23651,-100.249867,77,88.240068,10.630756,-21.870825,13,46.424658,-17.920384,-15.504274,38,28.02911,3.403743,6.567147,38,12.039726,5.364255,20.596019,24,13.688782,4.177625,6.133593
2014/2/11,192,159.013356,41.760852,-8.774208,83,88.240068,6.490819,-11.730888,24,46.424658,-15.85189,-6.572767,35,28.02911,0.788991,6.1819,30,12.039726,4.023385,13.936889,24,13.688782,3.869722,6.441496
2014/2/12,205,159.013356,40.674024,5.31262,116,88.240068,6.410735,21.349196,17,46.424658,-18.433977,-10.990681,34,28.02911,4.0225,1.948391,44,12.039726,4.386023,27.574251,28,13.688782,4.870354,9.440864
2014/2/13,261,159.013356,46.307322,55.679322,186,88.240068,3.670271,94.08966,11,46.424658,-19.297833,-16.126824,43,28.02911,1.719865,13.251025,43,12.039726,5.079667,25.880606,36,13.688782,3.794274,18.516944
2014/2/14,332,159.013356,26.786142,146.200502,324,88.240068,15.747721,220.01221,12,46.424658,-18.443882,-15.980776,50,28.02911,0.417442,21.553449,56,12.039726,7.43399,36.526284,39,13.688782,2.794485,22.516733
